S. No.,State/ UT,Surfaced Roads-Accident - 2014,Metalled Roads-Accident - 2014,Kutcha Roads-Accident - 2014,Dry road-Accident - 2014,Wet road-Accident - 2014,Good surface-Accident - 2014,Loose Surface-Accident - 2014,Rutted/Pot holes-Accident - 2014,Road under repair/construction-Accident - 2014,Corrugated/Wavy road-Accident - 2014,Slippery surface-Accident - 2014,Snowy-Accident - 2014,Muddy-Accident - 2014,Oily-Accident - 2014,Speed breaker-Accident - 2014,Others-Accident - 2014,Straight Road-Accidents - 2014,Slight Curve-Accidents - 2014,Sharp Curve-Accidents - 2014,Flat Road-Accidents - 2014,Gentle Incline-Accidents - 2014,Steep Incline-Accidents - 2014,Hump-Accidents - 2014,Dip-Accidents - 2014,Pucca road (Normal Road) - Number of Accidents - 2016,Kutcha road (Normal Road) - Number of Accidents - 2016,Pot Holes - Number of Accidents - 2016,Speed Breakers - Number of Accidents - 2016,Sharp Curve - Number of Accidents - 2016,Steep Gradient - Number of Accidents - 2016,Earthern Shoulder Edge Drop - Number of Accidents - 2016,Others - Number of Accidents - 2016,Surfaced Roads-Accident,Metalled Roads-Accident,Pucca road (Normal Road) - Accidents,Kutcha Roads-Accident,Dry road-Accident,Wet road-Accident,Good surface-Accident ,Loose Surface-Accident,Road under repair/construction-Accident ,Corrugated/Wavy road-Accident ,Slippery surface-Accident ,Snowy-Accident,Muddy-Accident ,Oily-Accident,Straight Road-Accidents ,Slight Curve-Accidents,Flat Road-Accidents ,Gentle Incline-Accidents,Hump-Accidents,Dip-Accidents,Pot Holes -Accidents,Speed Breaker-Accidents,Steep Incline-Accidents,Sharp Curve-Accidents,Earthern Shoulder Edge Drop - Accidents,Others
1,Andhra Pradesh,13846,5211,5383,22547,1893,11766,291,282,498,82,60,29,44,0,293,11095,15631,4732,4077,20122,3696,267,93,262,16376,2787,280,579,816,144,255,3651,13846,5211,16376,8170,22547,1893,11766,291,498,82,60,29,44,0,15631,4732,20122,3696,93,262,562,872,1083,4893,255,14746
2,Arunachal Pradesh,81,73,51,114,91,17,25,28,26,10,12,8,6,27,8,38,78,66,61,50,0,69,30,56,120,33,0,9,43,0,0,44,81,73,120,84,114,91,17,25,26,10,12,8,6,27,78,66,50,0,30,56,28,17,112,104,0,82
3,Assam,4948,1296,900,6149,995,5639,322,17,100,33,44,5,39,24,56,865,6748,329,67,6791,197,103,48,5,4818,785,43,71,38,44,2,1634,4948,1296,4818,1685,6149,995,5639,322,100,33,44,5,39,24,6748,329,6791,197,48,5,60,127,141,105,2,2499
4,Bihar,5990,2194,1372,6746,2810,3837,1093,494,727,373,354,96,342,65,729,1446,5871,2088,1597,6039,1307,761,569,880,4454,940,200,358,702,117,123,1328,5990,2194,4454,2312,6746,2810,3837,1093,727,373,354,96,342,65,5871,2088,6039,1307,569,880,694,1087,1463,2299,123,2774
5,Chhattisgarh,7248,4799,1774,10696,3125,8730,1255,114,448,71,161,43,88,44,317,2550,10632,2082,1107,10425,1839,508,298,751,9951,1650,28,166,169,109,8,1499,7248,4799,9951,3424,10696,3125,8730,1255,448,71,161,43,88,44,10632,2082,10425,1839,298,751,142,483,677,1276,8,4049
6,Goa,3793,334,102,3688,541,3832,223,17,4,11,81,0,10,2,28,21,3108,820,301,4037,66,63,31,32,4298,1,1,2,1,1,0,0,3793,334,4298,103,3688,541,3832,223,4,11,81,0,10,2,3108,820,4037,66,31,32,18,30,64,302,0,21
7,Gujarat,17896,4848,968,18075,5637,16155,3673,506,288,122,158,100,89,142,205,2274,17353,4892,1467,18856,3903,427,260,266,15654,2194,306,477,406,223,218,2381,17896,4848,15654,3162,18075,5637,16155,3673,288,122,158,100,89,142,17353,4892,18856,3903,260,266,812,682,833,1873,218,4655
8,Haryana,7972,847,1857,9419,1257,8511,625,0,0,0,0,0,0,0,80,1460,9833,843,0,10676,0,0,0,0,7570,1652,0,328,408,0,10,1266,7972,847,7570,3509,9419,1257,8511,625,0,0,0,0,0,0,9833,843,10676,0,0,0,0,408,408,408,10,2726
9,Himachal Pradesh,810,1890,358,2713,345,2356,378,8,51,41,103,19,21,0,0,81,1887,462,709,2446,386,143,36,47,2787,221,0,0,0,0,0,160,810,1890,2787,579,2713,345,2356,378,51,41,103,19,21,0,1887,462,2446,386,36,47,8,0,143,709,0,241
10,Jammu & Kashmir,2350,2576,935,4525,1336,2806,2040,45,27,13,504,62,171,150,43,0,2822,851,2188,2111,1910,683,496,661,2530,109,8,5,3,0,0,2846,2350,2576,2530,1044,4525,1336,2806,2040,27,13,504,62,171,150,2822,851,2111,1910,496,661,53,48,686,2191,0,2846
11,Jharkhand,3246,1034,921,4713,488,1142,255,62,301,99,86,0,76,7,275,2898,4572,341,288,4168,242,163,366,262,2071,573,200,350,395,238,233,872,3246,1034,2071,1494,4713,488,1142,255,301,99,86,0,76,7,4572,341,4168,242,366,262,262,625,558,683,233,3770
12,Karnataka,31808,5264,6641,37067,6646,31863,541,248,516,178,263,178,314,228,1114,8270,35357,6137,2219,35724,3879,2006,1278,826,26608,5361,185,668,1690,56,15,9820,31808,5264,26608,12002,37067,6646,31863,541,516,178,263,178,314,228,35357,6137,35724,3879,1278,826,433,1782,3696,3909,15,18090
13,Kerala,32954,3135,193,26550,9732,29162,3686,494,452,228,1594,0,235,133,110,188,27860,6034,2388,30280,3298,2278,414,12,33088,225,536,107,2574,2446,243,201,32954,3135,33088,418,26550,9732,29162,3686,452,228,1594,0,235,133,27860,6034,30280,3298,414,12,1030,217,4852,4962,243,389
14,Madhya Pradesh,38703,6611,8158,45933,7539,35469,5962,2962,1190,633,549,127,181,73,1895,4431,37932,11179,4361,38954,9085,2129,2285,1019,38265,6708,609,712,643,276,450,6309,38703,6611,38265,14866,45933,7539,35469,5962,1190,633,549,127,181,73,37932,11179,38954,9085,2285,1019,3571,2607,2772,5004,450,10740
15,Maharashtra,48820,8541,4266,53587,8040,55036,892,565,676,593,458,0,418,322,380,2287,52315,7687,1625,54540,4178,2076,475,358,27300,2751,1064,579,949,611,218,6406,48820,8541,27300,7017,53587,8040,55036,892,676,593,458,0,418,322,52315,7687,54540,4178,475,358,1629,959,3025,2574,218,8693
16,Manipur,228,270,245,395,348,175,263,1,61,0,42,12,36,14,24,115,462,155,126,485,131,67,19,41,359,86,20,4,23,9,0,37,228,270,359,331,395,348,175,263,61,0,42,12,36,14,462,155,485,131,19,41,21,28,90,149,0,152
17,Meghalaya,542,0,0,542,0,542,0,0,0,0,0,0,0,0,0,0,542,0,0,542,0,0,0,0,74,11,0,56,15,0,0,464,542,0,74,11,542,0,542,0,0,0,0,0,0,0,542,0,542,0,0,0,0,56,15,15,0,464
18,Mizoram,13,117,2,106,26,129,3,0,0,0,0,0,0,0,0,0,35,85,12,26,101,5,0,0,76,1,1,0,0,1,0,4,13,117,76,3,106,26,129,3,0,0,0,0,0,0,35,85,26,101,0,0,1,0,5,12,0,4
19,Nagaland,249,0,56,305,0,305,0,0,0,0,0,0,0,0,0,0,305,0,0,305,0,0,0,0,37,0,0,0,38,0,0,0,249,0,37,56,305,0,305,0,0,0,0,0,0,0,305,0,305,0,0,0,0,0,38,38,0,0
20,Orissa,6377,2203,1068,7504,2144,5555,1156,79,772,477,200,27,189,12,292,889,6256,2045,1347,6569,695,680,1330,374,6101,1753,226,497,482,131,25,1317,6377,2203,6101,2821,7504,2144,5555,1156,772,477,200,27,189,12,6256,2045,6569,695,1330,374,305,789,1162,1829,25,2206
