S. No.,State/ UT,Defective brakes ,Defective Steering,Punctured/burst Tyres,Bald Tyres,Worn out Tyres,Other serious mechanical defect ,normal,mist_fog,cloudy,rain,flooding,hail_sleet,snow,dust_storm,Surfaced Roads,Metalled Roads,Pucca road (Normal Road),Kutcha Roads,Dry road,Wet road,Good surface,Loose Surface,Road under repair/construction,Corrugated/Wavy road,Slippery surface ,Snowy,Muddy,Oily,Straight Road,Slight Curve,Flat Road,Gentle Incline,Hump,Dip,Pot Holes,Speed Breaker,Steep Incline,Sharp Curve,Earthern Shoulder Edge Drop,Others road conditions
1,Andhra Pradesh,883,818,529,327,185,3410,32974,1775,1672,2151,139,125,556,212,13846,5211,16376,8170,22547,1893,11766,291,498,82,60,29,44,0,15631,4732,20122,3696,93,262,562,872,1083,4893,255,14746
2,Arunachal Pradesh,80,47,47,0,4,138,172,45,42,40,0,12,3,12,81,73,120,84,114,91,17,25,26,10,12,8,6,27,78,66,50,0,30,56,28,17,112,104,0,82
3,Assam,426,242,73,59,0,681,7361,985,676,717,17,18,6,53,4948,1296,4818,1685,6149,995,5639,322,100,33,44,5,39,24,6748,329,6791,197,48,5,60,127,141,105,2,2499
4,Bihar,1100,543,400,137,58,913,4886,3482,1007,1548,228,85,31,934,5990,2194,4454,2312,6746,2810,3837,1093,727,373,354,96,342,65,5871,2088,6039,1307,569,880,694,1087,1463,2299,123,2774
5,Chhattisgarh,2330,1590,688,86,139,11766,12237,670,1535,1997,107,84,85,330,7248,4799,9951,3424,10696,3125,8730,1255,448,71,161,43,88,44,10632,2082,10425,1839,298,751,142,483,677,1276,8,4049
6,Goa,22,0,3,4,0,13,7331,0,27,751,0,0,0,0,3793,334,4298,103,3688,541,3832,223,4,11,81,0,10,2,3108,820,4037,66,31,32,18,30,64,302,0,21
7,Gujarat,1877,1003,871,321,311,6571,30599,1702,1990,1574,116,95,84,743,17896,4848,15654,3162,18075,5637,16155,3673,288,122,158,100,89,142,17353,4892,18856,3903,260,266,812,682,833,1873,218,4655
8,Haryana,494,415,470,210,179,1412,10121,3707,1097,1956,242,310,0,507,7972,847,7570,3509,9419,1257,8511,625,0,0,0,0,0,0,9833,843,10676,0,0,0,0,408,408,408,10,2726
9,Himachal Pradesh,43,7,12,4,0,137,4905,121,358,222,0,0,34,0,810,1890,2787,579,2713,345,2356,378,51,41,103,19,21,0,1887,462,2446,386,36,47,8,0,143,709,0,241
10,Jammu & Kashmir,311,108,158,61,6,5040,9382,16,150,167,0,0,123,0,2350,2576,2530,1044,4525,1336,2806,2040,27,13,504,62,171,150,2822,851,2111,1910,496,661,53,48,686,2191,0,2846
11,Jharkhand,1211,530,474,47,144,2619,2866,845,1275,1347,18,208,2,442,3246,1034,2071,1494,4713,488,1142,255,301,99,86,0,76,7,4572,341,4168,242,366,262,262,625,558,683,233,3770
12,Karnataka,3442,472,460,442,0,3659,55615,2458,3288,5302,61,57,172,843,31808,5264,26608,12002,37067,6646,31863,541,516,178,263,178,314,228,35357,6137,35724,3879,1278,826,433,1782,3696,3909,15,18090
13,Kerala,30,0,0,0,0,0,58827,977,2568,9805,36,0,0,0,32954,3135,33088,418,26550,9732,29162,3686,452,228,1594,0,235,133,27860,6034,30280,3298,414,12,1030,217,4852,4962,243,389
14,Madhya Pradesh,9360,3943,3232,2036,975,21624,79768,3535,3146,5017,0,640,21,664,38703,6611,38265,14866,45933,7539,35469,5962,1190,633,549,127,181,73,37932,11179,38954,9085,2285,1019,3571,2607,2772,5004,450,10740
15,Maharashtra,1541,1013,1472,770,46,5270,90536,881,2260,2317,24,0,0,794,48820,8541,27300,7017,53587,8040,55036,892,676,593,458,0,418,322,52315,7687,54540,4178,475,358,1629,959,3025,2574,218,8693
16,Manipur,294,184,87,53,6,657,546,81,116,177,17,28,7,32,228,270,359,331,395,348,175,263,61,0,42,12,36,14,462,155,485,131,19,41,21,28,90,149,0,152
17,Meghalaya,75,64,48,23,0,543,387,47,61,162,42,0,28,0,542,0,74,11,542,0,542,0,0,0,0,0,0,0,542,0,542,0,0,0,0,56,15,15,0,464
18,Mizoram,1,0,0,0,0,9,170,15,0,0,0,0,0,0,13,117,76,3,106,26,129,3,0,0,0,0,0,0,35,85,26,101,0,0,1,0,5,12,0,4
19,Nagaland,50,30,30,2,0,16,298,0,0,0,0,0,0,0,249,0,37,56,305,0,305,0,0,0,0,0,0,0,305,0,305,0,0,0,0,0,38,38,0,0
20,Orissa,2259,658,864,247,249,1969,8544,1546,1612,2473,114,94,32,433,6377,2203,6101,2821,7504,2144,5555,1156,772,477,200,27,189,12,6256,2045,6569,695,1330,374,305,789,1162,1829,25,2206
21,Punjab,70,46,57,7,6,112,8700,1716,812,601,59,9,0,153,5567,568,6516,281,5647,744,4884,318,162,51,92,24,75,15,5458,559,5728,225,194,72,183,232,387,589,0,551
22,Rajasthan,1665,646,667,37,18,21670,42478,1041,341,505,0,28,0,67,23978,448,20913,743,24126,502,23135,541,95,47,0,0,3,0,24112,404,24418,157,5,7,600,358,178,249,0,1313
23,Sikkim,93,58,19,3,0,156,147,72,28,45,0,9,6,0,44,95,63,120,111,92,9,25,0,0,26,4,6,0,66,58,60,29,7,83,0,0,55,110,27,133
24,Tamil Nadu,5057,1152,929,427,532,4676,107524,3668,4124,5276,77,39,834,1464,48327,16796,57983,10928,58776,8474,50013,1480,2933,375,277,82,706,0,53052,9104,57945,3140,2206,2032,2286,2327,3724,6891,67,9280
25,Telangana,5264,1125,579,892,72,12054,30419,452,721,914,452,211,861,214,9946,4733,14806,7803,18185,1893,7404,291,498,82,60,29,44,0,15510,2891,15510,3946,93,262,286,533,697,2107,1,16020
26,Tripura,50,34,0,0,0,89,1033,48,54,45,1,0,0,0,606,110,478,9,657,59,591,11,0,0,7,0,4,0,592,101,586,119,0,8,0,39,18,38,0,113
27,Uttarakhand,157,77,64,54,4,725,2284,224,34,93,2,32,10,9,850,408,1342,307,1117,293,898,319,56,25,38,0,3,0,1083,221,1143,65,97,15,28,62,90,106,0,75
28,Uttar Pradesh,3781,2709,2283,1795,52,2949,25594,5118,3448,5232,364,387,160,2131,18394,5883,15302,9878,24076,6958,15101,2238,1392,710,460,224,697,475,19499,6145,16477,4849,2539,2102,3842,5313,6893,7216,1770,13130
29,West Bengal,1274,616,457,983,74,6712,12936,3594,1165,3460,81,165,33,392,4813,4504,3298,4681,8881,3994,4055,1026,900,258,484,29,230,34,9786,1848,10717,704,275,679,671,770,2680,3421,289,11097
30,A & N Islands,0,0,0,0,0,0,343,0,0,77,0,0,0,0,218,0,173,0,174,44,218,0,0,0,0,0,0,0,186,30,218,0,0,0,5,4,45,47,0,0
31,Chandigarh,0,0,0,0,0,0,797,0,0,0,0,0,0,0,369,0,402,2,369,0,369,0,0,0,0,0,0,0,369,0,369,0,0,0,0,10,14,14,0,0
32,D & N Haveli,9,4,2,0,0,105,67,6,4,15,0,0,0,0,87,0,29,12,68,19,87,0,0,0,0,0,0,0,87,0,87,0,0,0,0,4,9,9,0,16
33,Daman & Diu,0,0,0,0,0,0,96,3,0,7,0,0,0,0,39,0,40,0,38,1,39,0,0,0,0,0,0,0,31,8,39,0,0,0,0,2,0,0,0,29
34,Delhi,55,32,27,0,24,2594,3879,425,142,449,0,171,0,122,0,0,6069,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,44,0,1101
35,Lakshadweep,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
36,Puducherry,36,0,4,0,0,7,1866,76,93,259,0,13,82,3,1037,62,1294,308,1054,57,971,15,4,0,0,18,0,0,974,86,1067,36,5,3,0,108,28,79,0,143
