state_name,state_code,persons_injured_2014,persons_injured_2015,persons_injured_2016,persons_injured_2017,Weather_condition_fine_TotalAccidents2016,Weather_condition_Mist_Foggy_TotalAccidents2016,Weather_condition_cloudy_TotalAccidents2016,Weather_condition_rainy_TotalAccidents2016,Weather_condition_snow_TotalAccidents2016,Weather_condition_hail_TotalAccidents2016,Weather_condition_duststorm_TotalAccidents2016,Weather_condition_others_TotalAccidents2016,lat,lng
Andaman and Nicobar,1,283,331,323,263,175,0,0,63,0,0,0,0,11.6233774,92.7264828
Arunachal Pradesh,2,308,359,391,316,101,31,31,30,0,12,0,44,28.218,94.7278
Andhra Pradesh,3,29931,29439,30051,27475,18383,1051,1025,1456,0,92,42,2839,16.29986355,79.73294171
Assam,4,6499,7068,6127,6163,3786,491,391,528,0,15,36,2188,26.19924793,93.02778665
Bihar,5,6640,6835,5651,6014,2543,1769,569,939,0,0,582,1820,25.66521542,85.45546609
Chandigarh,6,335,331,329,302,428,0,0,0,0,0,0,0,30.7333148,76.7794179
Chhattisgarh,7,13157,13426,12955,12550,7237,288,672,1279,0,0,132,3972,21.47542773,82.08552061
Daman and Diu,8,49,64,102,70,58,3,0,7,0,0,0,3,20.7212,70.9315
Dadra and Nagar Haveli,9,96,97,130,60,20,6,4,15,0,0,0,25,20.2778,73.0664
Goa,10,1879,2055,2026,1922,3775,0,0,529,0,0,0,0,15.3602,74.007544
Gujarat,11,22493,21448,19949,16802,15591,1059,924,759,0,64,302,3160,22.41665846,71.76495292
Haryana,12,8944,10794,10531,10339,4602,2983,787,1656,0,70,243,893,29.35160145,76.70886222
Himachal Pradesh,13,5576,5108,5764,5452,2835,31,163,136,3,0,0,0,31.1048145,77.1734033
Jammu and Kashmir,14,8043,8142,7692,7419,4092,0,71,77,23,0,0,1238,33.5137993,74.93433637
Jharkhand,15,4356,4038,3793,3918,1617,367,765,859,0,160,247,917,23.56270401,86.07954508
Karnataka,16,56831,56971,54556,52961,28269,1222,1592,3475,0,47,580,9218,14.53253709,76.27078757
Kerala,17,41096,43735,44108,42671,30689,500,1329,6902,0,0,0,0,9.917110771,76.40093826
Lakshadweep,18,1,3,0,1,1,0,0,0,0,0,0,0,10.0699,73.638
Madhya Pradesh,19,55335,55815,57873,57532,40433,1307,1710,3931,0,426,429,5736,23.69401649,77.8065184
Maharashtra,20,40455,39606,35884,32128,35350,591,1505,1958,0,0,474,0,19.42935903,75.36623062
Manipur,21,1295,1201,955,1027,318,43,83,81,0,10,3,0,24.8170111,93.9368439
Meghalaya,22,311,319,354,354,344,3,4,64,0,0,0,205,25.5714,91.8848
Mizoram,23,234,103,68,55,82,1,0,0,0,0,0,0,23.727107,92.7176389
Nagaland,24,230,74,120,375,47,0,0,0,0,0,0,28,25.8629885,93.7536663
Delhi,25,8283,8258,7154,6604,3879,425,142,449,0,171,122,2187,28.672227,77.18511751
Orissa,26,11087,11825,11312,11198,4831,876,921,1637,1,47,249,1970,21.02909738,85.62019765
Puducherry,27,1323,1552,1786,1741,1413,75,51,198,0,1,3,25,11.93071045,79.7969327
Punjab,28,4127,4414,4351,4218,5069,825,566,402,0,0,69,21,30.91455583,75.45665074
Rajasthan,29,27453,26153,24103,22071,20911,430,101,475,0,28,8,1113,26.68021504,75.21905239
Sikkim,30,352,337,263,479,89,25,28,19,6,9,0,34,27.5047,88.4657
Tamil Nadu,31,77725,79746,82163,74571,64808,1811,1645,2893,0,0,0,274,11.47443698,78.89657928
Telangana,32,21636,22948,24217,23990,19574,165,251,237,0,0,4,2580,17.837048,79.00328
Tripura,33,1225,1028,853,718,482,9,11,30,0,0,0,25,23.831457,91.2867777
Uttar Pradesh,34,22337,23205,25096,27494,14110,3664,2107,3168,0,199,1521,10843,27.26176602,79.97068247
Uttaranchal,35,1531,1657,1735,1631,1203,129,1,75,10,32,9,132,29.58877392,78.66223707
West Bengal,36,12018,11794,11859,10091,8423,2061,627,2267,0,6,196,0,23.25740512,88.19152697
