state_name,state_code,persons_injured_2014,persons_injured_2015,persons_injured_2016,persons_injured_2017,persons_killed_2014,persons_killed_2015,persons_killed_2016,persons_killed_2017,weather_normal,weather_mist_fog,weather_cloudy,weather_rain,weather_flooding,weather_hail_sleet,weather_snow,weather_dust_storm,weather_other_extreme_conditions,road_surfaced_road_acc,road_metalled_road_acc,road_normalpucca_road_acc,road_Kutcha_road_acc,road_dry_road_acc,road_wet_road_acc,road_goodsurface_road_acc,road_loosesurface_road_acc,road_under_repair_road_acc,road_corrugated_road_acc,road_slippery_road_acc,road_snowy_road_acc,road_muddy_road_acc,road_oily_road_acc,road_straight_road_acc,road_slightcurve_road_acc,road_flat_road_acc,road_gentleincline_road_acc,road_hump_road_acc,road_dip_road_acc,road_pothole_road_acc,road_speedbreaker_road_acc,road_steepincline_road_acc,road_sharpcurve_road_acc,road_earthernshoulderedgedrop_road_acc,road_other_road_acc,vehicle_defect_brakes ,vehicle_defect_steering,vehicle_defect_puncturedbursttyres,vehicle_defect_baldtyres,vehicle_defect_wornouttyres,vehicle_defect_othermechanical,lat,lng
Andaman and Nicobar,1,283,331,323,263,23,23,17,21,343,0,0,77,0,0,0,0,0,218,0,173,0,174,44,218,0,0,0,0,0,0,0,186,30,218,0,0,0,5,4,45,47,0,0,0,0,0,0,0,0,11.6233774,92.7264828
Arunachal Pradesh,2,308,359,391,316,119,127,149,110,172,45,42,40,0,12,0,12,52,81,73,120,84,114,91,17,25,26,10,12,8,6,27,78,66,50,0,30,56,28,17,112,104,0,82,80,47,47,0,4,138,28.218,94.7278
Andhra Pradesh,3,29931,29439,30051,27475,7908,8297,8541,8060,32974,1775,1672,2151,139,125,0,212,6430,13846,5211,16376,8170,22547,1893,11766,291,498,82,60,29,44,0,15631,4732,20122,3696,93,262,562,872,1083,4893,255,14746,883,818,529,327,185,3410,16.29986355,79.73294171
Assam,4,6499,7068,6127,6163,2522,2397,2572,2783,7361,985,676,717,17,18,0,53,4077,4948,1296,4818,1685,6149,995,5639,322,100,33,44,5,39,24,6748,329,6791,197,48,5,60,127,141,105,2,2499,426,242,73,59,0,681,26.19924793,93.02778665
Bihar,5,6640,6835,5651,6014,4913,5421,4901,5554,4886,3482,1007,1548,228,85,0,934,2753,5990,2194,4454,2312,6746,2810,3837,1093,727,373,354,96,342,65,5871,2088,6039,1307,569,880,694,1087,1463,2299,123,2774,1100,543,400,137,58,913,25.66521542,85.45546609
Chandigarh,6,335,331,329,302,131,129,151,107,797,0,0,0,0,0,0,0,0,369,0,402,2,369,0,369,0,0,0,0,0,0,0,369,0,369,0,0,0,0,10,14,14,0,0,0,0,0,0,0,0,30.7333148,76.7794179
Chhattisgarh,7,13157,13426,12955,12550,4022,4082,3908,4136,12237,670,1535,1997,107,84,0,330,6392,7248,4799,9951,3424,10696,3125,8730,1255,448,71,161,43,88,44,10632,2082,10425,1839,298,751,142,483,677,1276,8,4049,2330,1590,688,86,139,11766,21.47542773,82.08552061
Daman and Diu,8,49,64,102,70,15,42,38,36,96,3,0,7,0,0,0,0,3,39,0,40,0,38,1,39,0,0,0,0,0,0,0,31,8,39,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,20.7212,70.9315
Dadra and Nagar Haveli,9,96,97,130,60,59,42,46,43,67,6,4,15,0,0,0,0,29,87,0,29,12,68,19,87,0,0,0,0,0,0,0,87,0,87,0,0,0,0,4,9,9,0,16,9,4,2,0,0,105,20.2778,73.0664
Goa,10,1879,2055,2026,1922,290,311,336,328,7331,0,27,751,0,0,0,0,2,3793,334,4298,103,3688,541,3832,223,4,11,81,0,10,2,3108,820,4037,66,31,32,18,30,64,302,0,21,22,0,3,4,0,13,15.3602,74.007544
Gujarat,11,22493,21448,19949,16802,7955,8119,8136,7289,30599,1702,1990,1574,116,95,0,743,4684,17896,4848,15654,3162,18075,5637,16155,3673,288,122,158,100,89,142,17353,4892,18856,3903,260,266,812,682,833,1873,218,4655,1877,1003,871,321,311,6571,22.41665846,71.76495292
Haryana,12,8944,10794,10531,10339,4483,4879,5024,5120,10121,3707,1097,1956,242,310,0,507,2374,7972,847,7570,3509,9419,1257,8511,625,0,0,0,0,0,0,9833,843,10676,0,0,0,0,408,408,408,10,2726,494,415,470,210,179,1412,29.35160145,76.70886222
Himachal Pradesh,13,5576,5108,5764,5452,1199,1096,1271,1203,4905,121,358,222,0,0,3,0,197,810,1890,2787,579,2713,345,2356,378,51,41,103,19,21,0,1887,462,2446,386,36,47,8,0,143,709,0,241,43,7,12,4,0,137,31.1048145,77.1734033
Jammu and Kashmir,14,8043,8142,7692,7419,992,917,958,926,9382,16,150,167,0,0,23,0,1458,2350,2576,2530,1044,4525,1336,2806,2040,27,13,504,62,171,150,2822,851,2111,1910,496,661,53,48,686,2191,0,2846,311,108,158,61,6,5040,33.5137993,74.93433637
Jharkhand,15,4356,4038,3793,3918,2628,2893,3027,3256,2866,845,1275,1347,18,208,0,442,1755,3246,1034,2071,1494,4713,488,1142,255,301,99,86,0,76,7,4572,341,4168,242,366,262,262,625,558,683,233,3770,1211,530,474,47,144,2619,23.56270401,86.07954508
Karnataka,16,56831,56971,54556,52961,10452,10856,11133,10609,55615,2458,3288,5302,61,57,0,843,14904,31808,5264,26608,12002,37067,6646,31863,541,516,178,263,178,314,228,35357,6137,35724,3879,1278,826,433,1782,3696,3909,15,18090,3442,472,460,442,0,3659,14.53253709,76.27078757
Kerala,17,41096,43735,44108,42671,4049,4196,4287,4131,58827,977,2568,9805,36,0,0,0,0,32954,3135,33088,418,26550,9732,29162,3686,452,228,1594,0,235,133,27860,6034,30280,3298,414,12,1030,217,4852,4962,243,389,30,0,0,0,0,0,9.917110771,76.40093826
Lakshadweep,18,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0699,73.638
Madhya Pradesh,19,55335,55815,57873,57532,8569,9314,9646,10177,79768,3535,3146,5017,0,640,0,664,10322,38703,6611,38265,14866,45933,7539,35469,5962,1190,633,549,127,181,73,37932,11179,38954,9085,2285,1019,3571,2607,2772,5004,450,10740,9360,3943,3232,2036,975,21624,23.69401649,77.8065184
Maharashtra,20,40455,39606,35884,32128,12803,13212,12935,12264,90536,881,2260,2317,24,0,0,794,2516,48820,8541,27300,7017,53587,8040,55036,892,676,593,458,0,418,322,52315,7687,54540,4178,475,358,1629,959,3025,2574,218,8693,1541,1013,1472,770,46,5270,19.42935903,75.36623062
Manipur,21,1295,1201,955,1027,168,139,81,136,546,81,116,177,17,28,0,32,66,228,270,359,331,395,348,175,263,61,0,42,12,36,14,462,155,485,131,19,41,21,28,90,149,0,152,294,184,87,53,6,657,24.8170111,93.9368439
Meghalaya,22,311,319,354,354,141,183,150,182,387,47,61,162,42,0,0,0,370,542,0,74,11,542,0,542,0,0,0,0,0,0,0,542,0,542,0,0,0,0,56,15,15,0,464,75,64,48,23,0,543,25.5714,91.8848
Mizoram,23,234,103,68,55,103,72,70,60,170,15,0,0,0,0,0,0,0,13,117,76,3,106,26,129,3,0,0,0,0,0,0,35,85,26,101,0,0,1,0,5,12,0,4,1,0,0,0,0,9,23.727107,92.7176389
Nagaland,24,230,74,120,375,81,30,46,41,298,0,0,0,0,0,0,0,82,249,0,37,56,305,0,305,0,0,0,0,0,0,0,305,0,305,0,0,0,0,0,38,38,0,0,50,30,30,2,0,16,25.8629885,93.7536663
Delhi,25,8283,8258,7154,6604,1671,1622,1591,1584,3879,425,142,449,0,171,0,122,2187,0,0,6069,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,44,0,1101,55,32,27,0,24,2594,28.672227,77.18511751
Orissa,26,11087,11825,11312,11198,3931,4303,4463,4790,8544,1546,1612,2473,114,94,0,433,3125,6377,2203,6101,2821,7504,2144,5555,1156,772,477,200,27,189,12,6256,2045,6569,695,1330,374,305,789,1162,1829,25,2206,2259,658,864,247,249,1969,21.02909738,85.62019765
Puducherry,27,1323,1552,1786,1741,151,235,244,233,1866,76,93,259,0,13,0,3,39,1037,62,1294,308,1054,57,971,15,4,0,0,18,0,0,974,86,1067,36,5,3,0,108,28,79,0,143,36,0,4,0,0,7,11.93071045,79.7969327
Punjab,28,4127,4414,4351,4218,4621,4893,5077,4463,8700,1716,812,601,59,9,0,153,188,5567,568,6516,281,5647,744,4884,318,162,51,92,24,75,15,5458,559,5728,225,194,72,183,232,387,589,0,551,70,46,57,7,6,112,30.91455583,75.45665074
Rajasthan,29,27453,26153,24103,22071,10289,10510,10465,10444,42478,1041,341,505,0,28,0,67,2195,23978,448,20913,743,24126,502,23135,541,95,47,0,0,3,0,24112,404,24418,157,5,7,600,358,178,249,0,1313,1665,646,667,37,18,21670,26.68021504,75.21905239
Sikkim,30,352,337,263,479,59,70,85,78,147,72,28,45,0,9,6,0,106,44,95,63,120,111,92,9,25,0,0,26,4,6,0,66,58,60,29,7,83,0,0,55,110,27,133,93,58,19,3,0,156,27.5047,88.4657
Tamil Nadu,31,77725,79746,82163,74571,15190,15642,17218,16157,107524,3668,4124,5276,77,39,0,1464,7294,48327,16796,57983,10928,58776,8474,50013,1480,2933,375,277,82,706,0,53052,9104,57945,3140,2206,2032,2286,2327,3724,6891,67,9280,5057,1152,929,427,532,4676,11.47443698,78.89657928
Telangana,32,21636,22948,24217,23990,6906,7110,7219,6596,30419,452,721,914,452,211,0,214,5812,9946,4733,14806,7803,18185,1893,7404,291,498,82,60,29,44,0,15510,2891,15510,3946,93,262,286,533,697,2107,1,16020,5264,1125,579,892,72,12054,17.837048,79.00328
Tripura,33,1225,1028,853,718,188,158,173,161,1033,48,54,45,1,0,43,0,49,606,110,478,9,657,59,591,11,0,0,7,0,4,0,592,101,586,119,0,8,0,39,18,38,0,113,50,34,0,0,0,89,23.831457,91.2867777
Uttar Pradesh,34,22337,23205,25096,27494,16287,17666,19320,20124,25594,5118,3448,5232,364,387,0,2131,17507,18394,5883,15302,9878,24076,6958,15101,2238,1392,710,460,224,697,475,19499,6145,16477,4849,2539,2102,3842,5313,6893,7216,1770,13130,3781,2709,2283,1795,52,2949,27.26176602,79.97068247
Uttaranchal,35,1531,1657,1735,1631,878,913,962,942,2284,224,34,93,2,32,0,9,191,850,408,1342,307,1117,293,898,319,56,25,38,0,3,0,1083,221,1143,65,97,15,28,62,90,106,0,75,157,77,64,54,4,725,29.58877392,78.66223707
West Bengal,36,12018,11794,11859,10091,5875,6234,6544,5769,12936,3594,1165,3460,81,165,10,392,2313,4813,4504,3298,4681,8881,3994,4055,1026,900,258,484,29,230,34,9786,1848,10717,704,275,679,671,770,2680,3421,289,11097,1274,616,457,983,74,6712,23.25740512,88.19152697
